time,U1,U2,U3
0.001,0.873999,1.00031,1.00031
0.002,0.88994,1.00031,1.00031
0.003,0.891714,1.00031,1.00031
0.004,0.890672,1.00031,1.00031
0.005,0.892159,1.00031,1.00031
0.006,0.893814,1.00031,1.00031
0.007,0.893823,1.00031,1.00031
0.008,0.893019,1.00031,1.00031
0.009,0.889435,1.00031,1.00031
0.01,0.890984,1.00031,1.00031
0.011,0.892751,1.00031,1.00031
0.012,0.892361,1.00031,1.00031
0.013,0.894232,1.00031,1.00031
0.014,0.892357,1.00031,1.00031
0.015,0.8903,1.00031,1.00031
0.016,0.892537,1.00031,1.00031
0.017,0.892224,1.00031,1.00031
0.018,0.893506,1.00031,1.00031
0.019,0.89235,1.00031,1.00031
0.02,0.893622,1.00031,1.00031
0.021,0.892985,1.00031,1.00031
0.022,0.891595,1.00031,1.00031
0.023,0.891249,1.00031,1.00031
0.024,0.893392,1.00031,1.00031
0.025,0.891466,1.00032,1.00032
0.026,0.893258,1.00031,1.00031
0.027,0.89279,1.00031,1.00031
0.028,0.892271,1.00031,1.00031
0.029,0.893201,1.00031,1.00031
0.03,0.892068,1.00031,1.00031
0.031,0.891874,1.00031,1.00031
0.032,0.893409,1.00031,1.00031
0.033,0.892713,1.00031,1.00031
0.034,0.892204,1.00031,1.00031
0.035,0.892857,1.00031,1.00031
0.036,0.892866,1.00031,1.00031
0.037,0.892269,1.00031,1.00031
0.038,0.892131,1.00031,1.00031
0.039,0.892792,1.00031,1.00031
0.04,0.892517,1.00031,1.00031
0.041,0.892765,1.00031,1.00031
0.042,0.892218,1.00031,1.00031
0.043,0.892399,1.00031,1.00031
0.044,0.891782,1.00031,1.00031
0.045,0.89204,1.00031,1.00031
0.046,0.892311,1.00031,1.00031
0.047,0.892592,1.00031,1.00031
0.048,0.892984,1.00031,1.00031
0.049,0.890787,1.00031,1.00031
0.05,0.891021,1.00032,1.00032
0.051,0.897481,1.00031,1.00031
0.052,0.892503,1.00031,1.00031
0.053,0.892859,1.00031,1.00031
0.054,0.892839,1.00031,1.00031
0.055,0.892098,1.00031,1.00031
0.056,0.892387,1.00031,1.00031
0.057,0.891671,1.00031,1.00031
0.058,0.892094,1.00031,1.00031
0.059,0.892088,1.00031,1.00031
0.06,0.892375,1.00031,1.00031
0.061,0.892476,1.00031,1.00031
0.062,0.892202,1.00031,1.00031
0.063,0.892623,1.00031,1.00031
0.064,0.892158,1.00031,1.00031
0.065,0.891886,1.00031,1.00031
0.066,0.892505,1.00031,1.00031
0.067,0.89198,1.00031,1.00031
0.068,0.892111,1.00031,1.00031
0.069,0.892185,1.00031,1.00031
0.07,0.892007,1.00031,1.00031
0.071,0.892114,1.00031,1.00031
0.072,0.892241,1.00031,1.00031
0.073,0.892036,1.00031,1.00031
0.074,0.892001,1.00031,1.00031
0.075,0.891774,1.00031,1.00032
0.076,0.892885,1.00031,1.00031
0.077,0.892268,1.00031,1.00031
0.078,0.892284,1.00031,1.00031
0.079,0.892215,1.00031,1.00031
0.08,0.892301,1.00031,1.00031
0.081,0.892335,1.00031,1.00031
0.082,0.892238,1.00031,1.00031
0.083,0.892097,1.00031,1.00031
0.084,0.891777,1.00031,1.00031
0.085,0.891906,1.00031,1.00031
0.086,0.892045,1.00031,1.00031
0.087,0.892421,1.00031,1.00031
0.088,0.892186,1.00031,1.00031
0.089,0.891578,1.00031,1.00031
0.09,0.892168,1.00031,1.00031
0.091,0.891852,1.00031,1.00031
0.092,0.89208,1.00031,1.00031
0.093,0.892061,1.00031,1.00031
0.094,0.892124,1.00031,1.00031
0.095,0.89193,1.00031,1.00031
0.096,0.891944,1.00031,1.00031
0.097,0.89193,1.00031,1.00031
0.098,0.891907,1.00031,1.00031
0.099,0.891863,1.00031,1.00032
0.1,0.890983,1.00031,1.00032
0.101,0.892807,1.00031,1.0003
0.102,0.892144,1.00031,1.00031
0.103,0.892112,1.00031,1.00031
0.104,0.892065,1.00031,1.00031
0.105,0.892226,1.00031,1.00031
0.106,0.89172,1.00031,1.00031
0.107,0.891853,1.00031,1.00031
0.108,0.891434,1.00031,1.00031
0.109,0.892186,1.00031,1.00031
0.11,0.885737,1.00031,1.00031
0.111,0.892443,1.00031,1.00031
0.112,0.892136,1.00031,1.00031
0.113,0.891904,1.00031,1.00031
0.114,0.892219,1.00031,1.00031
0.115,0.89203,1.00031,1.00031
0.116,0.892018,1.00031,1.00031
0.117,0.891958,1.00031,1.00031
0.118,0.890587,1.00031,1.00031
0.119,0.892121,1.00031,1.00031
0.12,0.892151,1.00031,1.00031
0.121,0.892027,1.00031,1.00031
0.122,0.89182,1.00031,1.00031
0.123,0.891904,1.00031,1.00031
0.124,0.89298,1.00031,1.00032
0.125,0.891569,1.00031,1.00032
0.126,0.892623,1.00031,1.0003
0.127,0.892415,1.00031,1.00031
0.128,0.892161,1.00031,1.00031
0.129,0.892305,1.00031,1.00031
0.13,0.891712,1.00031,1.00031
0.131,0.892277,1.00031,1.00031
0.132,0.892173,1.00031,1.00031
0.133,0.892144,1.00031,1.00031
0.134,0.891913,1.00031,1.00031
0.135,0.892073,1.00031,1.00031
0.136,0.892025,1.00031,1.00031
0.137,0.892214,1.00031,1.00031
0.138,0.891752,1.00031,1.00031
0.139,0.892044,1.00031,1.00031
0.14,0.892034,1.00031,1.00031
0.141,0.892137,1.00031,1.00031
0.142,0.892014,1.00031,1.00031
0.143,0.892032,1.00031,1.00031
0.144,0.891838,1.00031,1.00031
0.145,0.891973,1.00031,1.00031
0.146,0.892028,1.00031,1.00031
0.147,0.891924,1.00031,1.00031
0.148,0.892027,1.00031,1.00031
0.149,0.891744,1.00031,1.00032
0.15,0.891259,1.00031,1.00032
0.151,0.892292,1.00031,1.0003
0.152,0.89207,1.00031,1.00031
0.153,0.890909,1.00031,1.00031
0.154,0.891757,1.00031,1.00031
0.155,0.892252,1.00031,1.00031
