time,U1,U2,U3
0.001,0.837855,1.00028,1.00028
0.002,0.856914,1.00028,1.00028
0.003,0.858487,1.00028,1.00028
0.004,0.855947,1.00028,1.00028
0.005,0.859636,1.00028,1.00028
0.006,0.859305,1.00028,1.00028
0.007,0.859508,1.00028,1.00028
0.008,0.859534,1.00029,1.00029
0.009,0.858618,1.00029,1.00029
0.01,0.858136,1.00029,1.00028
0.011,0.858917,1.00029,1.00029
0.012,0.859104,1.00028,1.00028
0.013,0.859458,1.00028,1.00028
0.014,0.858881,1.00028,1.00028
0.015,0.85817,1.00028,1.00028
0.016,0.858867,1.00028,1.00028
0.017,0.857987,1.00028,1.00028
0.018,0.858023,1.00028,1.00028
0.019,0.858577,1.00028,1.00028
0.02,0.857758,1.00029,1.00028
0.021,0.858643,1.00029,1.00029
0.022,0.857534,1.00029,1.00029
0.023,0.860114,1.00029,1.00029
0.024,0.858551,1.00029,1.00029
0.025,0.859785,1.00029,1.00029
0.026,0.859297,1.00029,1.00029
0.027,0.859135,1.00029,1.00029
0.028,0.858243,1.00029,1.00029
0.029,0.858693,1.00029,1.00029
0.03,0.858617,1.00029,1.00029
0.031,0.858659,1.00029,1.00029
0.032,0.858157,1.00029,1.00029
0.033,0.857675,1.00029,1.00029
0.034,0.8614,1.00027,1.00027
0.035,0.858928,1.00028,1.00028
0.036,0.85907,1.00028,1.00028
0.037,0.85803,1.00028,1.00028
0.038,0.858633,1.00029,1.00028
0.039,0.858156,1.00029,1.00028
0.04,0.858642,1.00029,1.00029
0.041,0.857788,1.00029,1.00029
0.042,0.858245,1.00029,1.00029
0.043,0.858187,1.00029,1.00029
0.044,0.85972,1.00029,1.00029
0.045,0.858007,1.00029,1.00029
0.046,0.856767,1.00029,1.00029
0.047,0.859056,1.00029,1.00029
0.048,0.858119,1.00029,1.00029
0.049,0.858062,1.00029,1.00029
0.05,0.858343,1.00029,1.00029
0.051,0.857956,1.00029,1.00029
0.052,0.858094,1.00029,1.00029
0.053,0.857982,1.00029,1.00029
0.054,0.858307,1.00029,1.00029
0.055,0.858103,1.00029,1.00029
0.056,0.858268,1.00029,1.00029
0.057,0.857922,1.00029,1.00029
0.058,0.858029,1.00029,1.00029
0.059,0.8579,1.00029,1.00029
0.06,0.858034,1.00029,1.00029
0.061,0.857943,1.00029,1.00029
0.062,0.858038,1.00029,1.00029
0.063,0.857954,1.00029,1.00029
0.064,0.857051,1.00029,1.00029
0.065,0.857277,1.00029,1.00029
0.066,0.857885,1.00029,1.00029
0.067,0.846743,1.0003,1.00032
0.068,0.858347,1.00028,1.00028
0.069,0.858601,1.00028,1.00028
0.07,0.857294,1.00028,1.00028
0.071,0.857949,1.00028,1.00028
0.072,0.859294,1.00028,1.00028
0.073,0.85858,1.00028,1.00028
0.074,0.858416,1.00028,1.00028
0.075,0.857693,1.00028,1.00028
0.076,0.858202,1.00029,1.00028
0.077,0.858191,1.00028,1.00028
0.078,0.858402,1.00028,1.00028
0.079,0.858209,1.00028,1.00028
0.08,0.857767,1.00028,1.00028
0.081,0.857747,1.00028,1.00028
0.082,0.858141,1.00028,1.00028
0.083,0.858246,1.00028,1.00028
0.084,0.857436,1.00028,1.00028
0.085,0.858091,1.00028,1.00028
0.086,0.85813,1.00028,1.00028
0.087,0.857863,1.00028,1.00028
0.088,0.858737,1.00028,1.00028
0.089,0.85755,1.00028,1.00028
0.09,0.857999,1.00028,1.00028
0.091,0.857964,1.00028,1.00028
0.092,0.857935,1.00028,1.00028
0.093,0.858097,1.00028,1.00028
0.094,0.857848,1.00028,1.00028
0.095,0.857999,1.00028,1.00028
0.096,0.858006,1.00028,1.00029
0.097,0.858061,1.00028,1.00029
0.098,0.857799,1.00028,1.00029
0.099,0.857822,1.00029,1.00029
0.1,0.856348,1.00029,1.0003
0.101,0.858741,1.00028,1.00027
0.102,0.858872,1.00028,1.00028
0.103,0.8578,1.00028,1.00028
0.104,0.857452,1.00028,1.00028
0.105,0.858113,1.00028,1.00028
0.106,0.861108,1.00028,1.00028
0.107,0.858158,1.00028,1.00028
0.108,0.858311,1.00028,1.00028
0.109,0.858192,1.00028,1.00028
0.11,0.858042,1.00028,1.00028
0.111,0.858228,1.00028,1.00028
0.112,0.858119,1.00028,1.00028
0.113,0.858196,1.00028,1.00028
0.114,0.857926,1.00028,1.00028
0.115,0.857898,1.00028,1.00028
0.116,0.857897,1.00028,1.00028
0.117,0.858084,1.00028,1.00028
0.118,0.857872,1.00028,1.00028
0.119,0.857853,1.00028,1.00028
0.12,0.857905,1.00028,1.00028
0.121,0.857803,1.00028,1.00028
0.122,0.858014,1.00028,1.00028
0.123,0.857402,1.00028,1.00028
0.124,0.858217,1.00028,1.00028
0.125,0.857905,1.00028,1.00028
0.126,0.858134,1.00028,1.00028
0.127,0.858344,1.00028,1.00028
0.128,0.857492,1.00028,1.00028
0.129,0.85784,1.00028,1.00028
0.13,0.851301,1.00028,1.00029
0.131,0.858157,1.00028,1.00029
0.132,0.857681,1.00028,1.00029
0.133,0.857385,1.00029,1.0003
0.134,0.860143,1.00027,1.00021
0.135,0.85853,1.00028,1.00027
0.136,0.85653,1.00028,1.00028
0.137,0.858086,1.00028,1.00028
0.138,0.858178,1.00028,1.00028
0.139,0.857965,1.00028,1.00028
0.14,0.857689,1.00028,1.00028
0.141,0.858567,1.00028,1.00028
0.142,0.85822,1.00028,1.00028
0.143,0.857805,1.00028,1.00028
0.144,0.858738,1.00028,1.00028
0.145,0.858181,1.00028,1.00028
0.146,0.858214,1.00028,1.00028
0.147,0.858133,1.00028,1.00028
0.148,0.857907,1.00028,1.00028
0.149,0.858209,1.00028,1.00028
0.15,0.8578,1.00028,1.00028
0.151,0.857128,1.00028,1.00028
0.152,0.858015,1.00028,1.00028
0.153,0.858159,1.00028,1.00028
0.154,0.857754,1.00028,1.00028
0.155,0.857873,1.00028,1.00028
0.156,0.857683,1.00028,1.00028
0.157,0.858376,1.00028,1.00028
0.158,0.858091,1.00028,1.00028
0.159,0.857631,1.00028,1.00028
0.16,0.857685,1.00028,1.00028
0.161,0.857451,1.00028,1.00028
0.162,0.857782,1.00028,1.00028
0.163,0.858182,1.00028,1.00028
0.164,0.857944,1.00028,1.00029
0.165,0.858777,1.00028,1.00029
0.166,0.857502,1.00028,1.00029
0.167,0.853681,1.0003,1.00037
0.168,0.85878,1.00028,1.00026
0.169,0.858452,1.00028,1.00027
0.17,0.858612,1.00028,1.00028
0.171,0.857941,1.00028,1.00028
0.172,0.85826,1.00028,1.00028
0.173,0.857575,1.00028,1.00028
0.174,0.858076,1.00028,1.00028
0.175,0.857906,1.00028,1.00028
0.176,0.857874,1.00028,1.00028
0.177,0.857387,1.00028,1.00028
0.178,0.857774,1.00028,1.00028
0.179,0.857849,1.00028,1.00028
0.18,0.857813,1.00028,1.00028
0.181,0.85782,1.00028,1.00028
0.182,0.857608,1.00028,1.00028
0.183,0.857884,1.00028,1.00028
0.184,0.857939,1.00028,1.00028
0.185,0.857718,1.00028,1.00028
0.186,0.857868,1.00028,1.00028
0.187,0.857759,1.00028,1.00028
0.188,0.857725,1.00028,1.00028
0.189,0.857843,1.00028,1.00028
0.19,0.858068,1.00028,1.00028
0.191,0.857897,1.00028,1.00028
0.192,0.857513,1.00028,1.00028
0.193,0.857761,1.00028,1.00028
0.194,0.857651,1.00028,1.00028
0.195,0.857711,1.00028,1.00028
0.196,0.857738,1.00028,1.00028
0.197,0.857647,1.00028,1.00029
0.198,0.857734,1.00028,1.00029
0.199,0.856508,1.00028,1.00029
0.2,0.856886,1.00029,1.00032
0.201,0.85886,1.00027,1.00025
0.202,0.858248,1.00028,1.00027
0.203,0.858102,1.00028,1.00027
0.204,0.857903,1.00028,1.00028
0.205,0.857866,1.00028,1.00028
0.206,0.858059,1.00028,1.00028
0.207,0.857426,1.00028,1.00028
0.208,0.858214,1.00028,1.00028
0.209,0.857784,1.00028,1.00028
0.21,0.857719,1.00028,1.00028
0.211,0.857028,1.00028,1.00028
0.212,0.858191,1.00028,1.00028
0.213,0.858015,1.00028,1.00028
0.214,0.857159,1.00028,1.00028
0.215,0.857845,1.00028,1.00028
0.216,0.85801,1.00028,1.00028
0.217,0.857095,1.00028,1.00028
0.218,0.857936,1.00028,1.00028
0.219,0.858039,1.00028,1.00028
0.22,0.85785,1.00028,1.00028
0.221,0.857899,1.00028,1.00028
0.222,0.857651,1.00028,1.00028
0.223,0.857947,1.00028,1.00028
0.224,0.857748,1.00028,1.00028
0.225,0.85788,1.00028,1.00028
0.226,0.857709,1.00028,1.00028
0.227,0.857692,1.00028,1.00028
0.228,0.857657,1.00028,1.00028
0.229,0.857718,1.00028,1.00028
0.23,0.857605,1.00028,1.00028
0.231,0.856742,1.00028,1.00029
0.232,0.857775,1.00028,1.00029
0.233,0.857253,1.00028,1.0003
0.234,0.861199,1.00026,1.00016
0.235,0.858295,1.00027,1.00026
0.236,0.858015,1.00028,1.00027
0.237,0.85791,1.00028,1.00027
0.238,0.85789,1.00028,1.00027
0.239,0.857914,1.00028,1.00027
0.24,0.857702,1.00028,1.00027
0.241,0.858001,1.00028,1.00028
0.242,0.857885,1.00028,1.00028
0.243,0.857878,1.00028,1.00028
0.244,0.857838,1.00028,1.00028
0.245,0.857358,1.00028,1.00028
0.246,0.857624,1.00028,1.00028
0.247,0.85795,1.00028,1.00028
0.248,0.857777,1.00028,1.00028
0.249,0.857496,1.00028,1.00028
0.25,0.858452,1.00028,1.00028
0.251,0.85797,1.00028,1.00028
0.252,0.857724,1.00028,1.00028
0.253,0.857832,1.00028,1.00028
0.254,0.85768,1.00028,1.00028
0.255,0.857776,1.00028,1.00028
0.256,0.857589,1.00028,1.00028
0.257,0.861319,1.00028,1.00028
0.258,0.857839,1.00028,1.00028
0.259,0.857912,1.00028,1.00028
0.26,0.857731,1.00028,1.00028
0.261,0.857757,1.00028,1.00028
0.262,0.85745,1.00028,1.00028
0.263,0.857658,1.00028,1.00028
0.264,0.857536,1.00028,1.00028
0.265,0.856326,1.00028,1.00029
0.266,0.855834,1.00028,1.0003
0.267,0.859065,1.0003,1.00043
0.268,0.85864,1.00027,1.00025
0.269,0.858194,1.00027,1.00026
0.27,0.858204,1.00027,1.00027
0.271,0.858094,1.00027,1.00027
0.272,0.858013,1.00027,1.00027
0.273,0.857805,1.00027,1.00027
0.274,0.858045,1.00027,1.00027
0.275,0.858202,1.00027,1.00027
0.276,0.857896,1.00027,1.00027
0.277,0.857861,1.00027,1.00027
0.278,0.858162,1.00027,1.00027
0.279,0.857913,1.00027,1.00028
0.28,0.858144,1.00027,1.00028
0.281,0.857726,1.00027,1.00028
0.282,0.857951,1.00027,1.00028
0.283,0.857899,1.00027,1.00028
0.284,0.857769,1.00027,1.00028
0.285,0.857929,1.00027,1.00028
0.286,0.857901,1.00027,1.00028
0.287,0.857751,1.00027,1.00028
0.288,0.857643,1.00027,1.00028
0.289,0.85774,1.00027,1.00028
0.29,0.857937,1.00027,1.00028
0.291,0.857796,1.00027,1.00028
0.292,0.858182,1.00027,1.00028
0.293,0.85788,1.00027,1.00028
0.294,0.858025,1.00027,1.00028
0.295,0.857743,1.00027,1.00028
0.296,0.857587,1.00027,1.00028
0.297,0.857948,1.00027,1.00028
0.298,0.858019,1.00027,1.00029
0.299,0.857354,1.00027,1.00029
0.3,0.8568,1.00028,1.00033
0.301,0.859005,1.00026,1.00022
