time,U1,U2,U3,U4,U5,U6
0.001,0.455341,0.576993,0.995057,0.455341,0.995057,0.576993
0.002,0.467897,0.528139,0.99504,0.467898,0.99504,0.52814
0.003,0.470745,0.503824,0.99504,0.470746,0.99504,0.503826
0.004,0.482168,0.496996,0.995068,0.48217,0.995068,0.496994
0.005,0.467792,0.495331,0.995092,0.467793,0.995092,0.495331
0.006,0.468218,0.492419,0.994931,0.468219,0.994931,0.49242
0.007,0.470028,0.483323,0.995047,0.47003,0.995047,0.483321
0.008,0.46962,0.487775,0.995171,0.469621,0.995171,0.487775
0.009,0.466197,0.487578,0.995069,0.466197,0.995069,0.487574
0.01,0.46717,0.482912,0.994672,0.467172,0.994672,0.482911
0.011,0.468114,0.487594,0.995089,0.468114,0.995089,0.487593
0.012,0.468052,0.480436,0.995091,0.468053,0.995091,0.480437
0.013,0.467446,0.480019,0.995088,0.467446,0.995088,0.480019
0.014,0.465272,0.479431,0.995109,0.465273,0.995109,0.479433
0.015,0.47737,0.481967,0.997886,0.477371,0.997886,0.481967
0.016,0.469821,0.474764,0.995115,0.469821,0.995115,0.474764
0.017,0.470004,0.484346,0.995132,0.470006,0.995132,0.484344
0.018,0.467482,0.484529,0.995157,0.467483,0.995157,0.484528
0.019,0.469165,0.476703,0.99521,0.469165,0.99521,0.476707
0.02,0.467338,0.476015,0.994709,0.467338,0.994709,0.476014
0.021,0.468695,0.475016,0.99505,0.468695,0.99505,0.475013
0.022,0.468989,0.478194,0.995082,0.468989,0.995082,0.478195
0.023,0.463742,0.476947,0.995095,0.463742,0.995095,0.476946
0.024,0.46838,0.475114,0.995092,0.468381,0.995092,0.475117
0.025,0.471728,0.458148,0.99512,0.471729,0.99512,0.458148
0.026,0.467405,0.484206,0.995128,0.467405,0.995128,0.484205
0.027,0.467172,0.481819,0.995133,0.467173,0.995134,0.481818
0.028,0.468797,0.294358,0.995146,0.468796,0.995146,0.294357
0.029,0.467683,0.475497,0.995153,0.467683,0.995153,0.4755
0.03,0.588009,0.474985,0.995037,0.588007,0.995037,0.474986
0.031,0.468708,0.480292,0.995122,0.468708,0.995122,0.480293
0.032,0.448106,0.481706,0.995178,0.448105,0.995178,0.481703
0.033,0.459102,0.475756,0.995145,0.459102,0.995145,0.475755
0.034,0.467584,0.473949,0.995163,0.467586,0.995163,0.47395
0.035,0.478478,0.463523,0.995159,0.478478,0.995159,0.463523
0.036,0.467572,0.47454,0.995058,0.467572,0.995058,0.474543
0.037,0.469782,0.472712,0.995181,0.469782,0.995181,0.472715
0.038,0.472658,0.469388,0.995294,0.472658,0.995294,0.469389
0.039,0.467798,0.475784,0.995192,0.467798,0.995192,0.475782
0.04,0.467545,0.475209,0.995226,0.467546,0.995226,0.475204
0.041,0.47229,0.474856,0.995372,0.472291,0.995372,0.474853
0.042,0.467448,0.470434,0.995039,0.467448,0.995039,0.470434
0.043,0.468204,0.499822,0.995212,0.468204,0.995212,0.499822
0.044,0.468355,0.47314,0.995162,0.468355,0.995162,0.473142
0.045,0.467718,0.47365,0.995091,0.467718,0.99509,0.473649
0.046,0.468234,0.473665,0.995177,0.468235,0.995177,0.473662
0.047,0.459463,0.473047,0.995193,0.459464,0.995192,0.473044
0.048,0.469838,0.471974,0.995183,0.469838,0.995183,0.471973
0.049,0.468268,0.475117,0.995193,0.468267,0.995193,0.475116
0.05,0.468282,0.474214,0.9952,0.468282,0.9952,0.474216
0.051,0.468478,0.472845,0.995205,0.468478,0.995205,0.472848
0.052,0.46789,0.473976,0.995214,0.46789,0.995214,0.473976
0.053,0.465122,0.475457,0.995219,0.465121,0.995219,0.47546
0.054,0.464208,0.474703,0.995227,0.464208,0.995227,0.474703
0.055,0.467377,0.473933,0.995106,0.467377,0.995106,0.473932
0.056,0.466853,0.466358,0.995207,0.466853,0.995207,0.466357
0.057,0.453833,0.473386,0.995195,0.453831,0.995194,0.473387
0.058,0.468354,0.473384,0.995061,0.468354,0.995061,0.473386
0.059,0.467503,0.471648,0.995226,0.467503,0.995226,0.471649
0.06,0.468206,0.472077,0.995246,0.468206,0.995245,0.472077
0.061,0.467776,0.47059,0.995286,0.467778,0.995286,0.470592
0.062,0.467306,0.476037,0.999562,0.467306,0.999562,0.476039
0.063,0.467134,0.475713,0.99515,0.467135,0.99515,0.475712
0.064,0.467171,0.476251,0.995184,0.467171,0.995184,0.476252
0.065,0.468089,0.473411,0.995189,0.46809,0.995188,0.47341
0.066,0.468011,0.477122,0.995198,0.468011,0.995198,0.477122
0.067,0.466083,0.472974,0.995224,0.466082,0.995224,0.472972
0.068,0.471254,0.473314,0.995215,0.471254,0.995215,0.473314
0.069,0.467637,0.473904,0.995221,0.467637,0.995221,0.473902
0.07,0.464489,0.473592,0.995236,0.46449,0.995236,0.473589
0.071,0.469193,0.470528,0.995188,0.469193,0.995188,0.470527
0.072,0.466637,0.472981,0.995236,0.466638,0.995235,0.472982
0.073,0.467342,0.473121,0.995286,0.467342,0.995285,0.473125
0.074,0.4669,0.474258,0.995246,0.4669,0.995246,0.474263
0.075,0.467423,0.472528,0.995202,0.467421,0.995202,0.472531
0.076,0.467878,0.47314,0.996028,0.467877,0.996028,0.473141
0.077,0.470126,0.472585,0.995316,0.470126,0.995316,0.472584
0.078,0.468887,0.472264,0.995297,0.468888,0.995297,0.472263
0.079,0.467395,0.472126,0.995302,0.467395,0.995303,0.472124
0.08,0.467015,0.472703,0.995328,0.467014,0.995328,0.472702
0.081,0.467508,0.472104,0.996448,0.467507,0.996448,0.472103
0.082,0.46523,0.472719,0.995204,0.46523,0.995204,0.472718
0.083,0.467449,0.47273,0.995206,0.467449,0.995206,0.472731
0.084,0.467889,0.472421,0.995193,0.467889,0.995193,0.472421
0.085,0.46692,0.473614,0.994616,0.466922,0.994616,0.473612
0.086,0.467384,0.471812,0.995455,0.467384,0.995455,0.471811
0.087,0.467476,0.476069,0.995345,0.467476,0.995345,0.476069
0.088,0.466754,0.470327,0.995334,0.466754,0.995334,0.470327
0.089,0.468712,0.472976,0.99533,0.468712,0.99533,0.472978
0.09,0.46746,0.472223,0.995318,0.46746,0.995318,0.472225
0.091,0.468422,0.4716,0.995301,0.468422,0.995301,0.471603
0.092,0.467145,0.472291,0.995289,0.467144,0.995289,0.472294
0.093,0.466404,0.472002,0.995319,0.466404,0.995319,0.472005
0.094,0.467458,0.472631,0.995247,0.467457,0.995247,0.472634
0.095,0.467966,0.472431,0.995287,0.467965,0.995287,0.472432
0.096,0.462587,0.47337,0.995438,0.462587,0.995437,0.473368
0.097,0.458998,0.473615,0.995372,0.458997,0.995372,0.473613
0.098,0.464197,0.471916,0.995365,0.464197,0.995365,0.471914
0.099,0.466762,0.471274,0.995361,0.466761,0.995361,0.471273
0.1,0.468047,0.472222,0.995304,0.468047,0.995304,0.472221
0.101,0.467073,0.471779,0.995328,0.467074,0.995328,0.471778
0.102,0.465709,0.471553,0.995328,0.465709,0.995329,0.471552
0.103,0.467888,0.471196,0.995312,0.467888,0.995312,0.471194
0.104,0.46665,0.471604,0.995165,0.466651,0.995165,0.471602
