time,U1,U2,U3,U4,U5,U6
0.001,0.629653,0.742591,0.9978,0.62966,0.9978,0.74258
0.002,0.629022,0.748945,0.997793,0.629026,0.997793,0.748941
0.003,0.630438,0.691162,0.997802,0.630442,0.997802,0.691159
0.004,0.629268,0.655605,0.997805,0.629271,0.997805,0.655604
0.005,0.628261,0.645902,0.997697,0.628268,0.997697,0.645899
0.006,0.629094,0.902501,0.997813,0.629097,0.997812,0.902504
0.007,0.633967,0.640229,0.997802,0.63397,0.997802,0.640237
0.008,0.629833,0.638698,0.997859,0.629836,0.997859,0.638701
0.009,0.627252,0.641712,0.997804,0.627255,0.997804,0.641709
0.01,0.630651,0.636668,0.997816,0.630651,0.997816,0.63668
0.011,0.632127,0.643018,0.997802,0.632127,0.997802,0.64301
0.012,0.630561,0.638377,0.997807,0.630563,0.997807,0.638376
0.013,0.630729,0.638004,0.997805,0.630731,0.997805,0.638012
0.014,0.627299,0.640989,0.997807,0.627299,0.997807,0.640993
0.015,0.630525,0.643108,0.997736,0.630523,0.997736,0.643096
0.016,0.630178,0.637426,0.99781,0.630175,0.997811,0.637405
0.017,0.628822,0.639757,0.997809,0.628822,0.997809,0.639754
0.018,0.630488,0.642987,0.997827,0.630489,0.997827,0.643006
0.019,0.629872,0.635302,0.997813,0.629874,0.997813,0.635319
0.02,0.630542,0.635283,0.997812,0.630543,0.997812,0.635284
0.021,0.629589,0.635954,0.997815,0.629589,0.997815,0.635958
0.022,0.630152,0.636172,0.997857,0.630154,0.997857,0.636174
0.023,0.629863,0.636091,0.997801,0.629863,0.997801,0.636097
0.024,0.629741,0.634718,0.997813,0.629744,0.997813,0.634715
0.025,0.630676,0.500104,0.997815,0.630677,0.997815,0.500115
0.026,0.631466,0.636585,0.997875,0.631468,0.997875,0.63656
0.027,0.630434,0.636164,0.997871,0.630437,0.997871,0.636144
0.028,0.630676,0.634623,0.997817,0.630678,0.997817,0.634615
0.029,0.630023,0.635689,0.997819,0.630026,0.997819,0.635693
0.03,0.625474,0.63392,0.997817,0.625474,0.997817,0.633926
0.031,0.630434,0.63354,0.997817,0.630435,0.997816,0.633543
0.032,0.628718,0.635689,0.997821,0.628721,0.99782,0.635699
0.033,0.629919,0.63424,0.997823,0.629921,0.997822,0.634256
0.034,0.630317,0.634029,0.997827,0.63032,0.997826,0.634035
0.035,0.628838,0.634197,0.99782,0.628843,0.99782,0.634201
0.036,0.631147,0.633654,0.997827,0.631151,0.997827,0.633649
0.037,0.630412,0.636328,0.99783,0.630415,0.997829,0.636318
0.038,0.630878,0.633841,0.997831,0.630881,0.997831,0.633834
0.039,0.631701,0.634232,0.997828,0.631705,0.997827,0.634231
0.04,0.631588,0.633788,0.997834,0.631591,0.997834,0.633789
0.041,0.630256,0.63457,0.997837,0.630262,0.997837,0.634567
0.042,0.6307,0.630989,0.99782,0.630703,0.997819,0.63099
0.043,0.62986,0.633413,0.997832,0.629863,0.997832,0.633414
0.044,0.630634,0.634013,0.997832,0.630639,0.997832,0.634012
0.045,0.630406,0.634145,0.997821,0.630409,0.997821,0.634147
0.046,0.630078,0.633732,0.997831,0.630083,0.997832,0.633734
0.047,0.631682,0.631195,0.99783,0.631687,0.99783,0.631198
0.048,0.630085,0.631471,0.997832,0.630089,0.997832,0.631476
0.049,0.630343,0.633626,0.997833,0.630345,0.997833,0.633629
0.05,0.629992,0.633565,0.997839,0.629995,0.997839,0.633571
0.051,0.630188,0.634361,0.997835,0.63019,0.997835,0.63437
0.052,0.627256,0.633927,0.997834,0.627257,0.997834,0.63394
0.053,0.629657,0.633713,0.997837,0.629659,0.997837,0.633727
0.054,0.637072,0.632421,0.997834,0.637074,0.997834,0.632437
0.055,0.631126,0.633105,0.997895,0.631128,0.997894,0.63312
0.056,0.6297,0.633288,0.997834,0.6297,0.997834,0.6333
0.057,0.631613,0.634594,0.997842,0.631613,0.997842,0.634602
0.058,0.631187,0.632551,0.997836,0.631188,0.997836,0.63256
0.059,0.630794,0.635027,0.997839,0.630796,0.997839,0.635035
0.06,0.62901,0.632981,0.997839,0.629013,0.997838,0.632991
0.061,0.629475,0.632856,0.997841,0.629475,0.997841,0.632863
0.062,0.630105,0.633181,0.997841,0.630105,0.997841,0.633186
0.063,0.629558,0.632678,0.997843,0.629561,0.997842,0.632682
0.064,0.624982,0.634092,0.997843,0.624984,0.997843,0.634097
0.065,0.629892,0.632652,0.997841,0.629892,0.99784,0.632654
0.066,0.630134,0.642347,0.997841,0.630132,0.99784,0.642348
0.067,0.629828,0.632969,0.997822,0.629828,0.997822,0.632965
0.068,0.630374,0.633073,0.997843,0.630374,0.997843,0.633066
0.069,0.63192,0.633061,0.997843,0.631919,0.997842,0.633053
0.07,0.631087,0.633041,0.997845,0.631086,0.997844,0.633032
0.071,0.629364,0.633624,0.997846,0.629363,0.997845,0.633615
0.072,0.631791,0.630456,0.99785,0.631791,0.997849,0.630444
0.073,0.628937,0.633093,0.997841,0.628937,0.99784,0.633082
0.074,0.629486,0.633249,0.998194,0.629485,0.998193,0.633241
0.075,0.629852,0.633447,0.997844,0.629851,0.997844,0.633435
0.076,0.630222,0.632986,0.997839,0.630221,0.997838,0.632975
0.077,0.628307,0.631885,0.99787,0.628305,0.997869,0.63187
0.078,0.630764,0.63373,0.997854,0.630761,0.997854,0.633719
0.079,0.629737,0.633156,0.997852,0.629737,0.997851,0.633145
0.08,0.630119,0.632862,0.997845,0.630118,0.997845,0.63285
0.081,0.595279,0.632723,0.997847,0.595279,0.997846,0.632708
0.082,0.630544,0.631757,0.997841,0.630545,0.997841,0.631743
0.083,0.630399,0.632472,0.997662,0.630398,0.997661,0.632457
0.084,0.62988,0.631854,0.997872,0.629881,0.997872,0.63184
0.085,0.630912,0.631266,0.997863,0.630912,0.997863,0.631251
0.086,0.630371,0.634203,0.997861,0.63037,0.99786,0.634191
0.087,0.630111,0.632353,0.997856,0.630112,0.997856,0.632343
0.088,0.630476,0.63242,0.997853,0.630478,0.997852,0.632411
0.089,0.63161,0.625548,0.997832,0.631611,0.997832,0.625542
0.09,0.630574,0.632411,0.997925,0.630576,0.997925,0.632406
0.091,0.630137,0.632296,0.997856,0.630139,0.997855,0.632292
0.092,0.63055,0.632192,0.997864,0.630552,0.997863,0.632191
0.093,0.630396,0.632174,0.997862,0.630397,0.997861,0.632171
0.094,0.630211,0.631866,0.997861,0.630213,0.997861,0.631864
0.095,0.662807,0.632123,0.997853,0.662811,0.997853,0.632122
0.096,0.619915,0.632072,0.99795,0.619917,0.997949,0.632073
0.097,0.629108,0.631652,0.997878,0.629109,0.997877,0.631653
0.098,0.630096,0.63233,0.997872,0.6301,0.997871,0.632333
0.099,0.629808,0.631431,0.997873,0.62981,0.997872,0.631437
0.1,0.642965,0.632912,0.99787,0.642967,0.99787,0.632917
0.101,0.629721,0.632846,0.99786,0.629725,0.99786,0.63285
0.102,0.632326,0.633417,0.997808,0.632328,0.997808,0.633422
0.103,0.630176,0.631975,0.997886,0.63018,0.997886,0.631978
0.104,0.629737,0.632297,0.997866,0.629741,0.997866,0.632302
0.105,0.629484,0.632227,0.997874,0.629487,0.997874,0.632234
0.106,0.634014,0.631914,0.997872,0.634017,0.997871,0.631918
0.107,0.630233,0.628548,0.997867,0.630235,0.997866,0.628553
0.108,0.630199,0.632398,0.997963,0.630201,0.997962,0.632402
0.109,0.629687,0.632294,0.997909,0.62969,0.997909,0.632297
0.11,0.630472,0.631724,0.99789,0.630475,0.99789,0.631728
0.111,0.629603,0.662923,0.997887,0.629606,0.997886,0.662931
0.112,0.628862,0.640623,0.997874,0.628866,0.997873,0.640626
0.113,0.630637,0.630929,0.997876,0.63064,0.997875,0.630931
0.114,0.629419,0.631256,0.997874,0.629422,0.997875,0.631258
0.115,0.629603,0.628826,0.997985,0.629607,0.997986,0.62883
0.116,0.629614,0.633162,0.997824,0.629618,0.997824,0.633168
0.117,0.630288,0.631821,0.997686,0.630292,0.997686,0.631825
0.118,0.630515,0.632128,0.997893,0.630517,0.997893,0.632133
0.119,0.629553,0.629206,0.997881,0.629555,0.997881,0.629212
0.12,0.632323,0.632221,0.997888,0.632327,0.997888,0.632227
0.121,0.629776,0.632564,0.997052,0.62978,0.997052,0.632571
0.122,0.629987,0.635492,0.997898,0.629991,0.997898,0.6355
0.123,0.629656,0.63119,0.997894,0.629661,0.997894,0.631198
0.124,0.631202,0.632244,0.99789,0.631205,0.99789,0.632249
0.125,0.629601,0.629554,0.997912,0.629606,0.997912,0.629561
0.126,0.629916,0.630702,0.997886,0.629918,0.997886,0.630711
0.127,0.629363,0.633515,0.997781,0.629365,0.997781,0.633522
0.128,0.629916,0.631886,0.997908,0.629919,0.997908,0.631894
0.129,0.630551,0.631738,0.997899,0.630554,0.997899,0.631747
0.13,0.643626,0.6315,0.997895,0.64363,0.997894,0.63151
0.131,0.629673,0.628241,0.997902,0.629676,0.997901,0.628252
0.132,0.629079,0.631996,0.997886,0.629082,0.997886,0.632006
0.133,0.629989,0.631698,0.997848,0.629992,0.997848,0.63171
0.134,0.630244,0.631543,0.997909,0.630245,0.997908,0.631557
0.135,0.629064,0.631834,0.997898,0.629065,0.997897,0.631846
0.136,0.63019,0.632383,0.997892,0.630193,0.997892,0.632394
0.137,0.629775,0.631283,0.997898,0.629776,0.997898,0.631297
0.138,0.630056,0.63149,0.997895,0.630057,0.997895,0.631502
0.139,0.629537,0.629994,0.997829,0.629537,0.99783,0.630007
0.14,0.706992,0.631246,0.99791,0.706998,0.99791,0.631258
0.141,0.629694,0.631732,0.997906,0.629694,0.997906,0.631743
0.142,0.629423,0.632749,0.997899,0.629423,0.997899,0.63276
0.143,0.629808,0.631113,0.997899,0.629808,0.997899,0.631124
0.144,0.629679,0.630224,0.997895,0.629681,0.997895,0.630236
0.145,0.630847,0.632029,0.997833,0.630848,0.997833,0.632039
0.146,0.6296,0.630969,0.997952,0.629602,0.997952,0.630978
0.147,0.629533,0.626892,0.997921,0.629536,0.997921,0.626902
0.148,0.628979,0.632322,0.997902,0.628982,0.997902,0.63233
0.149,0.629595,0.630883,0.997897,0.629598,0.997897,0.63089
0.15,0.629692,0.631892,0.997885,0.629695,0.997885,0.631899
